	deal.id	target.country	inv.country	production.size	crop	lat	long
260	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	8.6447707	-12.4505969
261	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	8.6447707	-13.0364141
262	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	8.6447707	-12.734256
263	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	8.9643706	-12.4505969
264	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	8.9643706	-13.0364141
265	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	8.9643706	-12.734256
266	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	9.0373	-12.4505969
267	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	9.0373	-13.0364141
268	3003	Sierra Leone	Portugal	13.8888888889	Pineapple	9.0373	-12.734256
269	3003	Sierra Leone	Portugal	13.8888888889	Rice	8.6447707	-12.4505969
270	3003	Sierra Leone	Portugal	13.8888888889	Rice	8.6447707	-13.0364141
271	3003	Sierra Leone	Portugal	13.8888888889	Rice	8.6447707	-12.734256
272	3003	Sierra Leone	Portugal	13.8888888889	Rice	8.9643706	-12.4505969
273	3003	Sierra Leone	Portugal	13.8888888889	Rice	8.9643706	-13.0364141
274	3003	Sierra Leone	Portugal	13.8888888889	Rice	8.9643706	-12.734256
275	3003	Sierra Leone	Portugal	13.8888888889	Rice	9.0373	-12.4505969
276	3003	Sierra Leone	Portugal	13.8888888889	Rice	9.0373	-13.0364141
277	3003	Sierra Leone	Portugal	13.8888888889	Rice	9.0373	-12.734256
278	3005	Sierra Leone	India	870	Oil Palm	8.7666667	-12.7875
279	3008	Sierra Leone	China	660	Cassava (Maniok)	8.7389416	-11.7979613
280	3008	Sierra Leone	China	660	Sugar Cane	8.7389416	-11.7979613
281	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.5575	31.395
282	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.5575	31.770519
283	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.5575	33.7519444
